Process_ID,Layer,Layer_depth_min,Layer_depth_max,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_bottom_to_reference_line_depth
20,2,5.000000,10.000000,"Surface (depth of zero)",5.000000,10.000000
20,3,10.000000,15.000000,"Surface (depth of zero)",10.000000,15.000000
20,4,15.000000,20.000000,"Surface (depth of zero)",15.000000,20.000000
20,5,20.000000,25.000000,"Surface (depth of zero)",20.000000,25.000000
20,6,25.000000,30.000000,"Surface (depth of zero)",25.000000,30.000000
20,7,30.000000,35.000000,"Surface (depth of zero)",30.000000,35.000000
20,8,35.000000,40.000000,"Surface (depth of zero)",35.000000,40.000000
20,9,40.000000,45.000000,"Surface (depth of zero)",40.000000,45.000000
20,10,45.000000,50.000000,"Surface (depth of zero)",45.000000,50.000000
20,11,50.000000,55.000000,"Surface (depth of zero)",50.000000,55.000000
20,12,55.000000,60.000000,"Surface (depth of zero)",55.000000,60.000000
20,13,60.000000,65.000000,"Surface (depth of zero)",60.000000,65.000000
20,14,65.000000,70.000000,"Surface (depth of zero)",65.000000,70.000000
20,15,70.000000,75.000000,"Surface (depth of zero)",70.000000,75.000000
20,16,75.000000,80.000000,"Surface (depth of zero)",75.000000,80.000000
20,17,80.000000,85.000000,"Surface (depth of zero)",80.000000,85.000000
20,18,85.000000,90.000000,"Surface (depth of zero)",85.000000,90.000000
20,19,90.000000,95.000000,"Surface (depth of zero)",90.000000,95.000000
20,20,95.000000,100.000000,"Surface (depth of zero)",95.000000,100.000000
20,21,100.000000,105.000000,"Surface (depth of zero)",100.000000,105.000000
20,22,105.000000,110.000000,"Surface (depth of zero)",105.000000,110.000000
20,23,110.000000,115.000000,"Surface (depth of zero)",110.000000,115.000000
20,24,115.000000,120.000000,"Surface (depth of zero)",115.000000,120.000000
20,25,120.000000,125.000000,"Surface (depth of zero)",120.000000,125.000000
20,26,125.000000,130.000000,"Surface (depth of zero)",125.000000,130.000000
20,27,130.000000,135.000000,"Surface (depth of zero)",130.000000,135.000000
20,28,135.000000,140.000000,"Surface (depth of zero)",135.000000,140.000000
20,29,140.000000,145.000000,"Surface (depth of zero)",140.000000,145.000000
20,30,145.000000,150.000000,"Surface (depth of zero)",145.000000,150.000000
20,31,150.000000,155.000000,"Surface (depth of zero)",150.000000,155.000000
20,32,155.000000,160.000000,"Surface (depth of zero)",155.000000,160.000000
20,33,160.000000,165.000000,"Surface (depth of zero)",160.000000,165.000000
20,34,165.000000,170.000000,"Surface (depth of zero)",165.000000,170.000000
20,35,170.000000,175.000000,"Surface (depth of zero)",170.000000,175.000000
20,36,175.000000,180.000000,"Surface (depth of zero)",175.000000,180.000000
20,37,180.000000,185.000000,"Surface (depth of zero)",180.000000,185.000000
20,38,185.000000,190.000000,"Surface (depth of zero)",185.000000,190.000000
20,39,190.000000,195.000000,"Surface (depth of zero)",190.000000,195.000000
20,40,195.000000,200.000000,"Surface (depth of zero)",195.000000,200.000000
20,41,200.000000,205.000000,"Surface (depth of zero)",200.000000,205.000000
20,42,205.000000,210.000000,"Surface (depth of zero)",205.000000,210.000000
20,43,210.000000,215.000000,"Surface (depth of zero)",210.000000,215.000000
20,44,215.000000,220.000000,"Surface (depth of zero)",215.000000,220.000000
20,45,220.000000,225.000000,"Surface (depth of zero)",220.000000,225.000000
20,46,225.000000,230.000000,"Surface (depth of zero)",225.000000,230.000000
20,47,230.000000,235.000000,"Surface (depth of zero)",230.000000,235.000000
20,48,235.000000,240.000000,"Surface (depth of zero)",235.000000,240.000000
20,49,240.000000,245.000000,"Surface (depth of zero)",240.000000,245.000000
20,50,245.000000,250.000000,"Surface (depth of zero)",245.000000,250.000000
20,51,250.000000,255.000000,"Surface (depth of zero)",250.000000,255.000000
20,52,255.000000,260.000000,"Surface (depth of zero)",255.000000,260.000000
20,53,260.000000,265.000000,"Surface (depth of zero)",260.000000,265.000000
20,54,265.000000,270.000000,"Surface (depth of zero)",265.000000,270.000000
20,55,270.000000,275.000000,"Surface (depth of zero)",270.000000,275.000000
20,56,275.000000,280.000000,"Surface (depth of zero)",275.000000,280.000000
20,57,280.000000,285.000000,"Surface (depth of zero)",280.000000,285.000000
20,58,285.000000,290.000000,"Surface (depth of zero)",285.000000,290.000000
20,59,290.000000,295.000000,"Surface (depth of zero)",290.000000,295.000000
20,60,295.000000,300.000000,"Surface (depth of zero)",295.000000,300.000000
20,61,300.000000,305.000000,"Surface (depth of zero)",300.000000,305.000000
20,62,305.000000,310.000000,"Surface (depth of zero)",305.000000,310.000000
20,63,310.000000,315.000000,"Surface (depth of zero)",310.000000,315.000000
20,64,315.000000,320.000000,"Surface (depth of zero)",315.000000,320.000000
20,65,320.000000,325.000000,"Surface (depth of zero)",320.000000,325.000000
20,66,325.000000,330.000000,"Surface (depth of zero)",325.000000,330.000000
20,67,330.000000,335.000000,"Surface (depth of zero)",330.000000,335.000000
20,68,335.000000,340.000000,"Surface (depth of zero)",335.000000,340.000000
20,69,340.000000,345.000000,"Surface (depth of zero)",340.000000,345.000000
20,70,345.000000,350.000000,"Surface (depth of zero)",345.000000,350.000000
20,71,350.000000,355.000000,"Surface (depth of zero)",350.000000,355.000000
20,72,355.000000,360.000000,"Surface (depth of zero)",355.000000,360.000000
20,73,360.000000,365.000000,"Surface (depth of zero)",360.000000,365.000000
20,74,365.000000,370.000000,"Surface (depth of zero)",365.000000,370.000000
20,75,370.000000,375.000000,"Surface (depth of zero)",370.000000,375.000000
20,76,375.000000,380.000000,"Surface (depth of zero)",375.000000,380.000000
20,77,380.000000,385.000000,"Surface (depth of zero)",380.000000,385.000000
20,78,385.000000,390.000000,"Surface (depth of zero)",385.000000,390.000000
20,79,390.000000,395.000000,"Surface (depth of zero)",390.000000,395.000000
20,80,395.000000,400.000000,"Surface (depth of zero)",395.000000,400.000000
20,81,400.000000,405.000000,"Surface (depth of zero)",400.000000,405.000000
20,82,405.000000,410.000000,"Surface (depth of zero)",405.000000,410.000000
20,83,410.000000,415.000000,"Surface (depth of zero)",410.000000,415.000000
20,84,415.000000,420.000000,"Surface (depth of zero)",415.000000,420.000000
20,85,420.000000,425.000000,"Surface (depth of zero)",420.000000,425.000000
20,86,425.000000,430.000000,"Surface (depth of zero)",425.000000,430.000000
20,87,430.000000,435.000000,"Surface (depth of zero)",430.000000,435.000000
20,88,435.000000,440.000000,"Surface (depth of zero)",435.000000,440.000000
20,89,440.000000,445.000000,"Surface (depth of zero)",440.000000,445.000000
20,90,445.000000,450.000000,"Surface (depth of zero)",445.000000,450.000000
20,91,450.000000,455.000000,"Surface (depth of zero)",450.000000,455.000000
20,92,455.000000,460.000000,"Surface (depth of zero)",455.000000,460.000000
