Process_ID,Interval,Layer,Sv_mean,Good_samples,Samples_In_Domain
21,1,4,-70.915900,1,1
21,1,5,-76.146836,1,1
21,1,6,-80.106545,1,1
21,1,7,-85.120641,1,1
21,1,8,-85.072573,1,1
21,1,9,-87.984983,1,1
21,1,10,-87.950951,1,1
21,1,11,-88.687337,1,1
21,1,13,-82.625302,1,1
21,1,14,-67.875866,1,1
21,2,4,-70.798329,1,1
21,2,5,-78.097706,1,1
21,2,6,-80.690760,1,1
21,2,7,-86.895233,1,1
21,2,8,-83.242552,1,1
21,2,9,-88.625614,1,1
21,2,10,-89.773073,1,1
21,2,13,-81.378497,1,1
21,2,14,-76.576027,1,1
21,3,4,-70.720156,1,1
21,3,5,-75.825143,1,1
21,3,6,-77.102889,1,1
21,3,7,-85.416195,1,1
21,3,8,-86.738300,1,1
21,3,9,-89.093625,1,1
21,3,10,-89.328859,1,1
21,3,13,-80.263034,1,1
21,3,14,-60.373524,1,1
21,4,4,-70.749275,1,1
21,4,5,-70.311521,1,1
21,4,6,-77.005976,1,1
21,4,7,-85.016949,1,1
21,4,8,-86.420316,1,1
21,4,9,-87.598716,1,1
21,4,10,-87.718530,1,1
21,4,13,-83.058427,1,1
21,4,14,-65.327601,1,1
21,5,4,-71.202460,1,1
21,5,5,-72.458252,1,1
21,5,6,-77.627674,1,1
21,5,7,-87.651488,1,1
21,5,8,-87.245394,1,1
21,5,9,-88.763383,1,1
21,5,10,-88.783510,1,1
21,5,11,-88.523511,1,1
21,5,13,-82.105390,1,1
21,5,14,-78.809141,1,1
21,6,4,-70.313416,1,1
21,6,5,-76.177200,1,1
21,6,6,-75.263087,1,1
21,6,7,-84.604788,1,1
21,6,8,-86.753633,1,1
21,6,9,-88.618436,1,1
21,6,10,-88.065163,1,1
21,6,13,-83.126898,1,1
21,6,14,-65.623438,1,1
21,7,4,-69.636291,1,1
21,7,5,-71.232339,1,1
21,7,6,-75.992674,1,1
21,7,7,-84.190565,1,1
21,7,8,-85.603734,1,1
21,7,9,-72.711891,1,1
21,7,10,-89.509182,1,1
