Process_ID,Layer,Layer_depth_min,Layer_depth_max,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_bottom_to_reference_line_depth
21,2,5.000000,10.000000,"Surface (depth of zero)",5.000000,10.000000
21,3,10.000000,15.000000,"Surface (depth of zero)",10.000000,15.000000
21,4,15.000000,20.000000,"Surface (depth of zero)",15.000000,20.000000
21,5,20.000000,25.000000,"Surface (depth of zero)",20.000000,25.000000
21,6,25.000000,30.000000,"Surface (depth of zero)",25.000000,30.000000
21,7,30.000000,35.000000,"Surface (depth of zero)",30.000000,35.000000
21,8,35.000000,40.000000,"Surface (depth of zero)",35.000000,40.000000
21,9,40.000000,45.000000,"Surface (depth of zero)",40.000000,45.000000
21,10,45.000000,50.000000,"Surface (depth of zero)",45.000000,50.000000
21,11,50.000000,55.000000,"Surface (depth of zero)",50.000000,55.000000
21,12,55.000000,60.000000,"Surface (depth of zero)",55.000000,60.000000
21,13,60.000000,65.000000,"Surface (depth of zero)",60.000000,65.000000
21,14,65.000000,70.000000,"Surface (depth of zero)",65.000000,70.000000
21,15,70.000000,75.000000,"Surface (depth of zero)",70.000000,75.000000
21,16,75.000000,80.000000,"Surface (depth of zero)",75.000000,80.000000
21,17,80.000000,85.000000,"Surface (depth of zero)",80.000000,85.000000
21,18,85.000000,90.000000,"Surface (depth of zero)",85.000000,90.000000
21,19,90.000000,95.000000,"Surface (depth of zero)",90.000000,95.000000
21,20,95.000000,100.000000,"Surface (depth of zero)",95.000000,100.000000
21,21,100.000000,105.000000,"Surface (depth of zero)",100.000000,105.000000
21,22,105.000000,110.000000,"Surface (depth of zero)",105.000000,110.000000
21,23,110.000000,115.000000,"Surface (depth of zero)",110.000000,115.000000
21,24,115.000000,120.000000,"Surface (depth of zero)",115.000000,120.000000
21,25,120.000000,125.000000,"Surface (depth of zero)",120.000000,125.000000
21,26,125.000000,130.000000,"Surface (depth of zero)",125.000000,130.000000
21,27,130.000000,135.000000,"Surface (depth of zero)",130.000000,135.000000
21,28,135.000000,140.000000,"Surface (depth of zero)",135.000000,140.000000
21,29,140.000000,145.000000,"Surface (depth of zero)",140.000000,145.000000
21,30,145.000000,150.000000,"Surface (depth of zero)",145.000000,150.000000
21,31,150.000000,155.000000,"Surface (depth of zero)",150.000000,155.000000
21,32,155.000000,160.000000,"Surface (depth of zero)",155.000000,160.000000
21,33,160.000000,165.000000,"Surface (depth of zero)",160.000000,165.000000
21,34,165.000000,170.000000,"Surface (depth of zero)",165.000000,170.000000
21,35,170.000000,175.000000,"Surface (depth of zero)",170.000000,175.000000
21,36,175.000000,180.000000,"Surface (depth of zero)",175.000000,180.000000
21,37,180.000000,185.000000,"Surface (depth of zero)",180.000000,185.000000
21,38,185.000000,190.000000,"Surface (depth of zero)",185.000000,190.000000
21,39,190.000000,195.000000,"Surface (depth of zero)",190.000000,195.000000
21,40,195.000000,200.000000,"Surface (depth of zero)",195.000000,200.000000
21,41,200.000000,205.000000,"Surface (depth of zero)",200.000000,205.000000
21,42,205.000000,210.000000,"Surface (depth of zero)",205.000000,210.000000
21,43,210.000000,215.000000,"Surface (depth of zero)",210.000000,215.000000
21,44,215.000000,220.000000,"Surface (depth of zero)",215.000000,220.000000
21,45,220.000000,225.000000,"Surface (depth of zero)",220.000000,225.000000
21,46,225.000000,230.000000,"Surface (depth of zero)",225.000000,230.000000
21,47,230.000000,235.000000,"Surface (depth of zero)",230.000000,235.000000
21,48,235.000000,240.000000,"Surface (depth of zero)",235.000000,240.000000
21,49,240.000000,245.000000,"Surface (depth of zero)",240.000000,245.000000
21,50,245.000000,250.000000,"Surface (depth of zero)",245.000000,250.000000
21,51,250.000000,255.000000,"Surface (depth of zero)",250.000000,255.000000
21,52,255.000000,260.000000,"Surface (depth of zero)",255.000000,260.000000
21,53,260.000000,265.000000,"Surface (depth of zero)",260.000000,265.000000
21,54,265.000000,270.000000,"Surface (depth of zero)",265.000000,270.000000
21,55,270.000000,275.000000,"Surface (depth of zero)",270.000000,275.000000
21,56,275.000000,280.000000,"Surface (depth of zero)",275.000000,280.000000
21,57,280.000000,285.000000,"Surface (depth of zero)",280.000000,285.000000
21,58,285.000000,290.000000,"Surface (depth of zero)",285.000000,290.000000
21,59,290.000000,295.000000,"Surface (depth of zero)",290.000000,295.000000
21,60,295.000000,300.000000,"Surface (depth of zero)",295.000000,300.000000
21,61,300.000000,305.000000,"Surface (depth of zero)",300.000000,305.000000
21,62,305.000000,310.000000,"Surface (depth of zero)",305.000000,310.000000
21,63,310.000000,315.000000,"Surface (depth of zero)",310.000000,315.000000
21,64,315.000000,320.000000,"Surface (depth of zero)",315.000000,320.000000
21,65,320.000000,325.000000,"Surface (depth of zero)",320.000000,325.000000
21,66,325.000000,330.000000,"Surface (depth of zero)",325.000000,330.000000
21,67,330.000000,335.000000,"Surface (depth of zero)",330.000000,335.000000
21,68,335.000000,340.000000,"Surface (depth of zero)",335.000000,340.000000
21,69,340.000000,345.000000,"Surface (depth of zero)",340.000000,345.000000
21,70,345.000000,350.000000,"Surface (depth of zero)",345.000000,350.000000
21,71,350.000000,355.000000,"Surface (depth of zero)",350.000000,355.000000
21,72,355.000000,360.000000,"Surface (depth of zero)",355.000000,360.000000
21,73,360.000000,365.000000,"Surface (depth of zero)",360.000000,365.000000
21,74,365.000000,370.000000,"Surface (depth of zero)",365.000000,370.000000
21,75,370.000000,375.000000,"Surface (depth of zero)",370.000000,375.000000
21,76,375.000000,380.000000,"Surface (depth of zero)",375.000000,380.000000
21,77,380.000000,385.000000,"Surface (depth of zero)",380.000000,385.000000
21,78,385.000000,390.000000,"Surface (depth of zero)",385.000000,390.000000
21,79,390.000000,395.000000,"Surface (depth of zero)",390.000000,395.000000
21,80,395.000000,400.000000,"Surface (depth of zero)",395.000000,400.000000
21,81,400.000000,405.000000,"Surface (depth of zero)",400.000000,405.000000
21,82,405.000000,410.000000,"Surface (depth of zero)",405.000000,410.000000
21,83,410.000000,415.000000,"Surface (depth of zero)",410.000000,415.000000
21,84,415.000000,420.000000,"Surface (depth of zero)",415.000000,420.000000
21,85,420.000000,425.000000,"Surface (depth of zero)",420.000000,425.000000
21,86,425.000000,430.000000,"Surface (depth of zero)",425.000000,430.000000
21,87,430.000000,435.000000,"Surface (depth of zero)",430.000000,435.000000
21,88,435.000000,440.000000,"Surface (depth of zero)",435.000000,440.000000
21,89,440.000000,445.000000,"Surface (depth of zero)",440.000000,445.000000
21,90,445.000000,450.000000,"Surface (depth of zero)",445.000000,450.000000
21,91,450.000000,455.000000,"Surface (depth of zero)",450.000000,455.000000
21,92,455.000000,460.000000,"Surface (depth of zero)",455.000000,460.000000
21,93,460.000000,465.000000,"Surface (depth of zero)",460.000000,465.000000
21,94,465.000000,470.000000,"Surface (depth of zero)",465.000000,470.000000
21,95,470.000000,475.000000,"Surface (depth of zero)",470.000000,475.000000
21,96,475.000000,480.000000,"Surface (depth of zero)",475.000000,480.000000
21,97,480.000000,485.000000,"Surface (depth of zero)",480.000000,485.000000
21,98,485.000000,490.000000,"Surface (depth of zero)",485.000000,490.000000
21,99,490.000000,495.000000,"Surface (depth of zero)",490.000000,495.000000
21,100,495.000000,500.000000,"Surface (depth of zero)",495.000000,500.000000
21,101,500.000000,505.000000,"Surface (depth of zero)",500.000000,505.000000
21,102,505.000000,510.000000,"Surface (depth of zero)",505.000000,510.000000
