Process_ID,Interval,Layer,Sv_mean,Good_samples,Samples_In_Domain
20,1,4,-70.248227,1,1
20,1,5,-73.523979,1,1
20,1,6,-79.633149,1,1
20,1,7,-86.172009,1,1
20,1,8,-91.826260,1,1
20,1,9,-93.148229,1,1
20,1,13,-86.663177,1,1
20,1,14,-69.843817,1,1
20,2,4,-67.938122,1,1
20,2,5,-76.033556,1,1
20,2,6,-80.139027,1,1
20,2,7,-87.619104,1,1
20,2,8,-66.493151,1,1
20,2,13,-85.734847,1,1
20,2,14,-74.402765,1,1
20,3,4,-68.854902,1,1
20,3,5,-75.808647,1,1
20,3,6,-76.301419,1,1
20,3,7,-85.574958,1,1
20,3,8,-90.317794,1,1
20,3,13,-80.014052,1,1
20,3,14,-53.453938,1,1
20,4,4,-67.337283,1,1
20,4,5,-73.329243,1,1
20,4,6,-75.859655,1,1
20,4,7,-85.222174,1,1
20,4,8,-91.676664,1,1
20,4,13,-85.464761,1,1
20,4,14,-65.892251,1,1
20,5,4,-69.700197,1,1
20,5,5,-70.892326,1,1
20,5,6,-77.347514,1,1
20,5,7,-86.807915,1,1
20,5,8,-91.163106,1,1
20,5,13,-84.609198,1,1
20,5,14,-80.868226,1,1
20,6,4,-66.780844,1,1
20,6,5,-71.280433,1,1
20,6,6,-75.538758,1,1
20,6,7,-85.661477,1,1
20,6,8,-91.548872,1,1
20,6,13,-85.750079,1,1
20,6,14,-74.793827,1,1
20,7,4,-69.313500,1,1
20,7,5,-72.460136,1,1
20,7,6,-74.035088,1,1
20,7,7,-83.126327,1,1
20,7,8,-86.722384,1,1
20,7,9,-90.246618,1,1
20,7,12,-63.532376,1,1
20,7,13,-84.060013,1,1
20,7,14,-79.984420,1,1
20,8,4,-68.689476,1,1
20,8,5,-71.282780,1,1
20,8,6,-76.100785,1,1
20,8,7,-87.728680,1,1
20,8,8,-89.336981,1,1
20,8,12,-75.405462,1,1
20,8,13,-80.686324,1,1
20,8,14,-69.972777,1,1
20,9,4,-69.657225,1,1
20,9,5,-72.795258,1,1
20,9,6,-74.907207,1,1
20,9,7,-85.581573,1,1
20,9,8,-90.427731,1,1
20,9,13,-87.780870,1,1
20,9,14,-62.753496,1,1
20,10,4,-70.505034,1,1
20,10,5,-70.109162,1,1
20,10,6,-76.374685,1,1
20,10,7,-81.886535,1,1
20,10,8,-88.065491,1,1
20,10,14,-61.317464,1,1
20,11,4,-69.659271,1,1
20,11,5,-66.682445,1,1
20,11,6,-76.900034,1,1
20,11,7,-81.882024,1,1
20,11,8,-92.554637,1,1
20,11,13,-87.884170,1,1
20,11,14,-57.721766,1,1
20,12,4,-68.827427,1,1
20,12,5,-65.691780,1,1
20,12,6,-78.737340,1,1
20,12,7,-84.444282,1,1
20,12,8,-90.578364,1,1
20,12,11,-89.054856,1,1
20,12,13,-88.016163,1,1
20,12,14,-68.030234,1,1
20,13,4,-67.867420,1,1
20,13,5,-62.873784,1,1
20,13,6,-77.110453,1,1
20,13,7,-83.798611,1,1
20,13,8,-83.800656,1,1
20,13,14,-58.833006,1,1
20,14,4,-68.746231,1,1
20,14,5,-63.005672,1,1
20,14,6,-74.941103,1,1
20,14,7,-87.337042,1,1
20,14,8,-92.659446,1,1
20,14,9,-80.628885,1,1
20,14,13,-72.265282,1,1
20,14,14,-58.259841,1,1
20,15,4,-65.631108,1,1
20,15,5,-64.857846,1,1
20,15,6,-73.752639,1,1
20,15,7,-90.418186,1,1
20,15,8,-90.206597,1,1
20,15,9,-92.822428,1,1
20,15,13,-74.632844,1,1
20,15,14,-55.092108,1,1
20,16,4,-65.782366,1,1
20,16,5,-65.880876,1,1
20,16,6,-74.227206,1,1
20,16,7,-85.814653,1,1
20,16,8,-88.474215,1,1
20,16,13,-87.747701,1,1
20,16,14,-63.554519,1,1
20,17,4,-67.227494,1,1
20,17,5,-66.704260,1,1
20,17,6,-76.126477,1,1
20,17,7,-87.595548,1,1
20,17,8,-89.436159,1,1
20,17,14,-67.155170,1,1
20,18,4,-67.950197,1,1
20,18,5,-65.261249,1,1
20,18,6,-73.091241,1,1
20,18,7,-92.478607,1,1
20,18,8,-65.179189,1,1
20,18,9,-92.771955,1,1
20,18,13,-86.854378,1,1
20,18,14,-54.477424,1,1
20,19,4,-70.270909,1,1
20,19,5,-68.491676,1,1
20,19,6,-76.696743,1,1
20,19,7,-88.354404,1,1
20,19,8,-88.904631,1,1
20,19,10,-85.383558,1,1
20,19,14,-61.365396,1,1
